MUNICIPIO,PUNTO UBICACIÓN ZONA WIFI,DIRECCION,UBICACIÓN,Ubicación en dos columnas
"El cerrito,Brisas de la merced ( teatrino marina Arango),Calle 1a sur  y carrera 12,""(3.681208, -76.313158)"",""(3681208.0, -76313158.00000001)"""
"Palmira,Parque villa diana,Calle 63/Cra 41,""(3.54938, -76.311582)"",""(3549380.0, -76311582.00000001)"""
"Jamundí,Robles ( parque principal),Corregimiento de Robles,""(3.12938, -76.594378)"",""(3129380.0, -76594377.99999999)"""
"Bolívar,Parque principal corregimiento de la Tulia,3 carrera con calle 3,""(4.384373, -76.244706)"",""(4384373.0, -76244705.99999999)"""
"Tuluá,Plaza Cívica Boyacá,calle 25 y 26 con carrera 25 y 26,""(4.085698, -76.197302)"",""(4085698.0, -76197302.00000001)"""
"Ulloa,Casa de la cultura,calle 4 y 5 con cra. 2 y 3,""(4.703828, -75.737838)"",""(4703828.0, -75737838.00000001)"""
"Buenaventura,Muelle turístico,carrera 2 y calle 1,""(3.889755, -77.079118)"",""(3889755.0, -77079118.00000001)"""
"Buenaventura,Plaza juan XXIII,carrera 6 diagonal 4A,""(3.885406, -77.074322)"",""(3885406.0, -77074321.99999999)"""
"Cartago,peatonal de la calle casa del virrey,calle 13 entre carrera 4 y 5,""(4.749696, -75.914778)"",""(4749696.0, -75914777.99999999)"""
"Jamundí,Jamundí ( parque principal),carrera 10 y 11,""(3.261188, -76.540622)"",""(3261188.0, -76540622.00000001)"""
"El cerrito,Parque el placer (corregimiento),Calle 7 entre carreras 6 y 7,""(3.609134, -76.270786)"",""(3609134.0, -76270785.99999999)"""
"Bugalagrande,Parque la Maria II Etapa,Calle 9 sur Cra 7 sur,""(4.199214, -76.161202)"",""(4199214.0, -76161201.99999999)"""
"Pradera,Cachas Galería,calle 8 con carrera 13 esq.,""(3.420553, -76.24493)"",""(3420553.0, -76244929.99999999)"""
"Cali,Plaza de San Francisco,Cra 6 entre calle 9 y 10,""(3.449622, -76.533582)"",""(3449622.0, -76533582.00000001)"""
"Argelia,Barrio el triangulo,Calle 4 con carrera 4 No. 4-20,""(4.727974, -76.120946)"",""(4727974.0, -76120945.99999999)"""
"Buga,Parque Maria Luisa de la Espada,Cra. 14 entre 22 y 23,""(3.912683, -76.296226)"",""(3912683.0, -76296225.99999999)"""
"Vijes,Parque principal,Cra 4 y 5 entre calle 5 y 6,""(3.700335, -76.44287)"",""(3700335.0, -76442870.00000001)"""
"Andalucía,Parque vicente H Cruz,Kra 4  calles 12 y13,""(4.169116, -76.166822)"",""(4169116.0, -76166822.00000001)"""
